datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2014-01-31,127.69000000000000,99.09000000000010,152.10000000000000,878.0300000000000,354.0,50.0,112.0,48.2
2014-02-28,133.32,126.0500000000000,177.00000000000000,1001.9000000000000,347.0,31.0,122.0,36.2
2014-03-31,137.44000000000000,92.95000000000010,147.655,779.275,232.0,20.0,112.0,85.4
2014-04-30,113.10000000000000,89.47500000000010,130.90000000000000,698.5,209.0,18.0,97.0,73.7
2014-05-31,101.79000000000000,119.93300000000000,132.1,628.7800000000000,270.0,23.0,107.0,123.70000000000000
2014-06-30,112.07000000000000,94.71000000000010,122.9,548.225,323.0,23.0,57.0,109.3
2014-07-31,117.06000000000000,95.01000000000010,129.3,491.9,348.0,21.0,61.0,69.1
2014-08-31,134.79000000000000,99.7800000000001,123.8,583.8500000000000,420.0,29.0,37.0,70.80000000000000
2014-09-30,108.78000000000000,109.0940000000000,122.10000000000000,887.8200000000000,399.0,14.0,115.0,58.8
2014-10-31,154.75000000000000,185.2410000000000,191.60000000000000,1856.8150000000000,472.0,30.0,182.0,74.5
2014-11-30,138.08000000000000,100.86000000000000,142.7,723.8,489.0,19.0,112.0,45.2
2014-12-31,131.90000000000000,121.40100000000000,111.12400000000000,1015.6600000000000,492.0,25.0,163.0,33.4
2015-01-31,135.91000000000000,130.34900000000000,141.0,1044.2400000000000,463.0,24.0,177.25,42.0
2015-02-28,115.71,123.74000000000000,131.83,953.252,243.0,9.0,208.0,47.0
2015-03-31,156.04000000000000,129.38600000000000,133.8,1084.8500000000000,208.0,13.0,195.0,54.0
2015-04-30,154.5,101.115,122.10000000000000,940.1700000000000,192.0,5.0,97.0,112.0
2015-05-31,160.02,119.11700000000000,136.04,765.9000000000000,194.0,10.0,100.0,159.5
2015-06-30,151.87000000000000,113.69,145.46,746.788,217.0,12.0,193.0,125.80000000000000
2015-07-31,175.61000000000000,113.81000000000000,125.5,708.8280000000000,203.0,6.0,60.0,130.3
2015-08-31,181.69000000000000,144.51900000000000,133.4,790.788,265.5,15.0,45.0,83.7
2015-09-30,166.22000000000000,134.12200000000000,110.4,852.125,243.5,11.0,91.0,71.0
2015-10-31,195.81000000000000,127.23100000000000,146.20000000000000,1574.3350000000000,222.0,8.0,184.0,72.0
2015-11-30,152.78000000000000,128.233,145.90000000000000,1277.725,228.0,18.0,195.0,44.0
2015-12-31,159.46000000000000,131.29100000000000,137.00000000000000,1258.3490000000000,286.0,28.0,231.0,41.73
2016-01-31,171.65000000000000,128.402,172.50000000000000,1476.3240000000000,248.0,24.0,174.0,56.5
2016-02-29,173.81000000000000,137.528,134.20000000000000,1224.8620000000000,239.0,20.0,245.0,58.0
2016-03-31,156.64000000000000,180.5890000000000,148.4,1150.7000000000000,250.0,13.0,253.0,97.84
2016-04-30,166.6100000000000,146.52600000000000,147.7,998.3370000000000,318.0,18.0,216.0,162.40000000000000
2016-05-31,167.36000000000000,120.86100000000000,130.55000000000000,997.1500000000000,275.0,18.0,131.0,137.10000000000000
2016-06-30,169.67000000000000,114.961,117.75,760.05,311.0,20.0,127.0,134.8
2016-07-31,203.97000000000000,141.01900000000000,137.90000000000000,652.3620000000000,240.0,8.0,109.0,116.83
2016-08-31,211.13000000000000,114.37500000000000,132.7,753.0500000000000,275.5,12.0,116.0,85.3
2016-09-30,172.96000000000000,126.21800000000000,116.7,1118.699,307.0,18.0,121.0,69.3
2016-10-31,186.7600000000000,142.0560000000000,160.15,1617.275000000000,312.0,11.0,220.0,60.9
2016-11-30,175.18000000000000,116.85000000000000,133.85000000000000,1062.6860000000000,246.0,27.0,150.0,51.200000000000000
2016-12-31,169.32000000000000,135.05600000000000,132.40000000000000,1624.3350000000000,257.0,18.0,275.0,34.9
2017-01-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-02-28,139.69000000000000,103.51700000000000,97.0,526.3500000000000,144.0,7.0,117.0,30.6
2017-03-31,162.85000000000000,111.055,107.35000000000000,612.5000000000000,165.0,9.0,139.0,100.1
2017-04-30,155.61000000000000,101.21500000000000,100.5,540.2000000000000,132.0,9.0,209.0,122.40000000000000
2017-05-31,143.66,118.12500000000000,98.95,547.9400000000000,148.0,23.0,128.0,161.81
2017-06-30,122.33,103.00600000000000,119.6,496.1,163.0,8.0,163.0,151.90000000000000
2017-07-31,159.67,116.20600000000000,75.20000000000000,479.35000000000000,219.0,15.0,115.0,81.1
2017-08-31,170.15000000000000,112.47,84.4,549.3,239.0,12.0,75.0,60.1
2017-09-30,138.33,118.71100000000000,88.15000000000000,863.7500000000000,223.0,23.0,139.0,66.9
2017-10-31,137.64000000000000,88.737,100.40000000000000,1184.3500000000000,226.0,15.0,247.0,51.0
2017-11-30,163.85000000000000,119.78000000000000,104.45,867.8990000000000,192.0,15.0,196.0,46.600000000000000
2017-12-31,160.01000000000000,121.66300000000000,115.15000000000000,1007.1800000000000,226.0,6.0,204.0,47.1
2018-01-31,132.28,109.44600000000000,101.15000000000000,1134.325,229.0,11.0,219.0,49.5
2018-02-28,128.36,132.80400000000000,114.65000000000000,1255.3740000000000,268.0,12.0,253.0,39.06
2018-03-31,146.16,111.76400000000000,122.30000000000000,999.1230000000000,381.0,42.0,269.0,85.5
2018-04-30,170.02000000000000,107.72300000000000,84.60000000000000,836.0370000000000,289.0,21.0,229.0,197.1
2018-05-31,160.52000000000000,103.52200000000000,89.40000000000000,644.6480000000000,259.0,13.0,192.0,213.04000000000000
2018-06-30,141.18,114.22600000000000,86.80000000000000,584.343,248.0,18.0,101.0,120.8
2018-07-31,150.18,132.54900000000000,87.2,679.3500000000000,283.0,19.0,90.0,122.2
2018-08-31,140.00000000000000,114.71900000000000,88.25,733.838,253.0,20.0,159.0,103.1
2018-09-30,153.52,114.99200000000000,86.5,1058.2620000000000,263.0,12.0,205.0,88.10000000000000
2018-10-31,144.71000000000000,129.4000000000000,76.05000000000000,1129.2750000000000,287.0,25.0,353.0,76.9
2018-11-30,172.29000000000000,105.48700000000000,102.15000000000000,995.15,252.2,22.0,311.0,48.400000000000000
2018-12-31,147.71000000000000,113.02400000000000,84.75,1213.95,254.0,27.0,384.0,53.100000000000000
2019-01-31,179.70000000000000,222.35100000000000,99.70000000000000,1660.6120000000000,295.2,23.0,386.0,41.3
2019-02-28,133.73000000000000,142.15500000000000,110.20000000000000,1001.2120000000000,249.40000000000000,12.0,226.0,69.5
2019-03-31,154.52000000000000,113.11800000000000,83.35000000000000,941.05,301.4,19.0,257.0,169.50000000000000
2019-04-30,161.39000000000000,100.16500000000000,88.1,647.6500000000000,299.4,22.0,259.0,179.10000000000000
2019-05-31,168.04000000000000,97.25800000000000,104.1,703.5620000000000,265.80000000000000,26.0,322.0,135.4
2019-06-30,151.5400000000000,101.62700000000000,103.2,610.0000000000000,193.0,25.0,142.0,156.04
2019-07-31,181.0,103.54100000000000,92.8,649.8,250.60000000000000,20.0,115.0,105.2
2019-08-31,181.91000000000000,88.26900000000000,84.20000000000000,518.1000000000000,237.0,26.0,145.0,97.3
2019-09-30,161.07000000000000,111.43700000000000,93.50000000000000,984.4800000000000,227.80000000000000,16.0,161.0,109.1
2019-10-31,44.370000000000000,37.3,20.65,295.15000000000000,86.0,7.0,37.0,11.130000000000000